zone,date_time,count
Airport,2014-06-26 22:00:00+00,79
Airport,2014-06-26 23:00:00+00,46
Airport,2014-06-27 00:00:00+00,19
Airport,2014-06-27 01:00:00+00,8
Airport,2014-06-27 04:00:00+00,7
Airport,2014-06-27 05:00:00+00,26
Airport,2014-06-27 06:00:00+00,34
Airport,2014-06-27 07:00:00+00,30
Airport,2014-06-27 08:00:00+00,24
Airport,2014-06-27 09:00:00+00,48
Airport,2014-06-27 10:00:00+00,30
Airport,2014-06-27 11:00:00+00,48
Airport,2014-06-27 12:00:00+00,49
Airport,2014-06-27 13:00:00+00,62
Airport,2014-06-27 14:00:00+00,83
Airport,2014-06-27 15:00:00+00,90
Airport,2014-06-27 16:00:00+00,66
Airport,2014-06-27 17:00:00+00,58
Airport,2014-06-27 18:00:00+00,35
Airport,2014-06-27 19:00:00+00,68
Airport,2014-06-27 20:00:00+00,72
Airport,2014-06-27 21:00:00+00,79
Airport,2014-06-27 22:00:00+00,81
Airport,2014-06-27 23:00:00+00,35
Airport,2014-06-28 00:00:00+00,9
Airport,2014-06-28 04:00:00+00,11
Airport,2014-06-28 05:00:00+00,31
Airport,2014-06-28 06:00:00+00,19
Airport,2014-06-28 07:00:00+00,12
Airport,2014-06-28 08:00:00+00,11
Airport,2014-06-28 09:00:00+00,16
Airport,2014-06-28 10:00:00+00,32
Airport,2014-06-28 11:00:00+00,26
Airport,2014-06-28 12:00:00+00,31
Airport,2014-06-28 13:00:00+00,36
Airport,2014-06-28 14:00:00+00,55
Airport,2014-06-28 15:00:00+00,60
Airport,2014-06-28 16:00:00+00,46
Airport,2014-06-28 17:00:00+00,29
Airport,2014-06-28 18:00:00+00,31
Airport,2014-06-28 19:00:00+00,22
Airport,2014-06-28 20:00:00+00,38
Airport,2014-06-28 21:00:00+00,27
Airport,2014-06-28 22:00:00+00,39
Airport,2014-06-28 23:00:00+00,12
Airport,2014-06-29 02:00:00+00,2
Airport,2014-06-29 04:00:00+00,6
Airport,2014-06-29 05:00:00+00,12
Airport,2014-06-29 06:00:00+00,9
Airport,2014-06-29 07:00:00+00,7
Airport,2014-06-29 08:00:00+00,11
Airport,2014-06-29 09:00:00+00,23
Airport,2014-06-29 10:00:00+00,28
Airport,2014-06-29 11:00:00+00,21
Airport,2014-06-29 12:00:00+00,41
Airport,2014-06-29 13:00:00+00,70
Airport,2014-06-29 14:00:00+00,77
Airport,2014-06-29 15:00:00+00,78
Airport,2014-06-29 16:00:00+00,65
Airport,2014-06-29 17:00:00+00,68
Airport,2014-06-29 18:00:00+00,86
Airport,2014-06-29 19:00:00+00,53
Airport,2014-06-29 20:00:00+00,118
Airport,2014-06-29 21:00:00+00,119
Airport,2014-06-29 22:00:00+00,90
Airport,2014-06-29 23:00:00+00,93
Airport,2014-06-30 00:00:00+00,10
Airport,2014-06-30 04:00:00+00,23
Airport,2014-06-30 05:00:00+00,35
Airport,2014-06-30 06:00:00+00,51
Airport,2014-06-30 07:00:00+00,51
Airport,2014-06-30 08:00:00+00,41
Airport,2014-06-30 09:00:00+00,60
Airport,2014-06-30 10:00:00+00,47
Airport,2014-06-30 11:00:00+00,31
Airport,2014-06-30 12:00:00+00,55
Airport,2014-06-30 13:00:00+00,49
Airport,2014-06-30 14:00:00+00,78
Airport,2014-06-30 15:00:00+00,45
Airport,2014-06-30 16:00:00+00,65
Airport,2014-06-30 17:00:00+00,39
Airport,2014-06-30 18:00:00+00,44
Airport,2014-06-30 19:00:00+00,44
Airport,2014-06-30 20:00:00+00,47
